t /s	T /C	HF /mw
16.913	533.255	-25.949
16.921	533.592	-26.053
16.929	533.916	-26.153
16.938	534.260	-26.257
16.946	534.592	-26.359
16.954	534.921	-26.461
16.963	535.253	-26.564
16.971	535.584	-26.667
16.979	535.922	-26.770
16.988	536.257	-26.872
16.996	536.586	-26.974
17.004	536.912	-27.078
17.013	537.249	-27.184
17.021	537.580	-27.289
17.029	537.913	-27.395
17.038	538.255	-27.503
17.046	538.586	-27.607
17.054	538.918	-27.713
17.063	539.256	-27.820
17.071	539.588	-27.927
17.079	539.919	-28.034
17.088	540.252	-28.140
17.096	540.584	-28.243
17.104	540.922	-28.348
17.113	541.251	-28.450
17.121	541.585	-28.553
17.129	541.919	-28.655
17.138	542.253	-28.756
17.146	542.582	-28.856
17.154	542.915	-28.955
17.163	543.253	-29.054
17.171	543.583	-29.150
17.179	543.917	-29.247
17.188	544.252	-29.342
17.196	544.587	-29.436
17.204	544.918	-29.528
17.213	545.253	-29.620
17.221	545.587	-29.711
17.229	545.923	-29.801
17.238	546.252	-29.888
17.246	546.587	-29.975
17.254	546.922	-30.062
17.263	547.255	-30.146
17.271	547.591	-30.229
17.279	547.926	-30.311
17.288	548.258	-30.393
17.296	548.595	-30.473
17.304	548.928	-30.551
17.313	549.264	-30.628
17.321	549.599	-30.703
17.329	549.933	-30.776
17.338	550.267	-30.850
17.346	550.601	-30.922
17.354	550.936	-30.993
17.363	551.270	-31.063
17.371	551.605	-31.132
17.379	551.941	-31.200
17.388	552.274	-31.267
17.396	552.606	-31.333
17.404	552.945	-31.399
17.413	553.277	-31.463
17.421	553.615	-31.527
17.429	553.945	-31.589
17.438	554.285	-31.653
17.446	554.620	-31.716
17.454	554.954	-31.777
17.463	555.287	-31.837
17.471	555.625	-31.897
17.479	555.958	-31.956
17.488	556.294	-32.015
17.496	556.629	-32.072
17.504	556.966	-32.129
17.513	557.304	-32.186
17.521	557.635	-32.241
17.529	557.972	-32.298
17.538	558.305	-32.354
17.546	558.639	-32.411
17.554	558.975	-32.470
17.563	559.310	-32.529
17.571	559.645	-32.588
17.579	559.979	-32.650
17.588	560.316	-32.714
17.596	560.648	-32.777
17.604	560.984	-32.842
17.613	561.316	-32.908
17.621	561.653	-32.978
17.629	561.983	-33.046
17.638	562.319	-33.117
17.646	562.653	-33.189
17.654	562.987	-33.262
17.663	563.324	-33.335
17.671	563.658	-33.407
17.679	563.995	-33.481
17.688	564.326	-33.555
17.696	564.663	-33.630
17.704	564.994	-33.704
17.713	565.326	-33.780
17.721	565.665	-33.858
17.729	565.994	-33.935
17.738	566.331	-34.014
17.746	566.663	-34.095
17.754	566.998	-34.178
17.763	567.332	-34.263
17.771	567.666	-34.348
17.779	567.996	-34.433
17.788	568.336	-34.520
17.796	568.666	-34.607
17.804	569.000	-34.696
17.813	569.339	-34.786
17.821	569.665	-34.875
17.829	570.002	-34.967
17.838	570.333	-35.058
17.846	570.665	-35.150
17.854	570.999	-35.243
17.863	571.332	-35.337
17.871	571.667	-35.433
17.879	572.001	-35.530
17.888	572.336	-35.627
17.896	572.665	-35.726
17.904	572.996	-35.825
17.913	573.331	-35.926
17.921	573.666	-36.028
17.929	574.000	-36.131
17.938	574.332	-36.235
17.946	574.668	-36.339
17.954	575.000	-36.443
17.963	575.330	-36.546
17.971	575.664	-36.651
17.979	575.995	-36.754
17.988	576.332	-36.860
17.996	576.663	-36.964
18.004	576.992	-37.068
18.013	577.327	-37.173
18.021	577.659	-37.279
18.029	577.993	-37.386
18.038	578.323	-37.493
18.046	578.659	-37.601
18.054	578.990	-37.710
18.063	579.323	-37.820
18.071	579.658	-37.930
18.079	579.988	-38.040
18.088	580.320	-38.152
18.096	580.655	-38.263
18.104	580.981	-38.374
18.113	581.316	-38.486
18.121	581.647	-38.599
18.129	581.980	-38.712
18.138	582.307	-38.825
18.146	582.648	-38.939
18.154	582.978	-39.052
18.163	583.312	-39.165
18.171	583.641	-39.279
18.179	583.975	-39.394
18.188	584.309	-39.509
18.196	584.636	-39.623
18.204	584.973	-39.739
18.213	585.304	-39.855
18.221	585.637	-39.972
18.229	585.971	-40.089
18.238	586.298	-40.207
18.246	586.629	-40.327
18.254	586.960	-40.446
18.263	587.294	-40.568
18.271	587.623	-40.690
18.279	587.961	-40.814
18.288	588.287	-40.937
18.296	588.623	-41.064
18.304	588.953	-41.189
18.313	589.284	-41.316
18.321	589.616	-41.442
18.329	589.948	-41.568
18.338	590.278	-41.693
18.346	590.615	-41.819
18.354	590.946	-41.944
18.363	591.277	-42.069
18.371	591.607	-42.194
18.379	591.936	-42.316
18.388	592.272	-42.438
18.396	592.600	-42.558
18.404	592.933	-42.680
18.413	593.261	-42.801
18.421	593.593	-42.921
18.429	593.926	-43.042
18.438	594.258	-43.163
18.446	594.591	-43.283
18.454	594.917	-43.403
18.463	595.252	-43.525
18.471	595.587	-43.647
18.479	595.916	-43.770
18.488	596.249	-43.895
18.496	596.580	-44.020
18.504	596.913	-44.146
18.513	597.245	-44.271
18.521	597.576	-44.398
18.529	597.909	-44.524
18.538	598.239	-44.650
18.546	598.574	-44.778
18.554	598.902	-44.906
18.563	599.234	-45.034
18.571	599.567	-45.161
18.579	599.898	-45.288
18.588	600.232	-45.415
18.596	600.559	-45.543
18.604	600.891	-45.671
18.613	601.225	-45.799
18.621	601.553	-45.927
18.629	601.889	-46.056
18.638	602.211	-46.182
18.646	602.548	-46.311
18.654	602.876	-46.439
18.663	603.211	-46.569
18.671	603.543	-46.697
18.679	603.871	-46.827
18.688	604.202	-46.956
18.696	604.535	-47.085
18.704	604.866	-47.215
18.713	605.196	-47.344
18.721	605.530	-47.475
18.729	605.864	-47.604
18.738	606.191	-47.733
18.746	606.526	-47.863
18.754	606.859	-47.993
18.763	607.188	-48.123
18.771	607.517	-48.252
18.779	607.848	-48.381
18.788	608.181	-48.511
18.796	608.515	-48.640
18.804	608.841	-48.768
18.813	609.173	-48.899
18.821	609.505	-49.027
18.829	609.836	-49.155
18.838	610.166	-49.283
18.846	610.497	-49.410
18.854	610.830	-49.536
18.863	611.161	-49.663
18.871	611.494	-49.790
18.879	611.828	-49.916
18.888	612.158	-50.042
18.896	612.490	-50.167
18.904	612.819	-50.292
18.913	613.152	-50.419
18.921	613.481	-50.544
18.929	613.814	-50.669
18.938	614.147	-50.794
18.946	614.475	-50.918
18.954	614.811	-51.042
18.963	615.144	-51.167
18.971	615.468	-51.290
18.979	615.802	-51.414
18.988	616.132	-51.537
18.996	616.465	-51.659
19.004	616.798	-51.781
19.013	617.130	-51.904
19.021	617.460	-52.027
19.029	617.795	-52.151
19.038	618.125	-52.274
19.046	618.456	-52.397
19.054	618.785	-52.519
19.063	619.113	-52.641
19.071	619.451	-52.765
19.079	619.777	-52.888
19.088	620.111	-53.012
19.096	620.437	-53.135
19.104	620.772	-53.259
19.113	621.103	-53.381
19.121	621.435	-53.504
19.129	621.766	-53.628
19.138	622.101	-53.752
19.146	622.431	-53.876
19.154	622.758	-54.001
19.163	623.090	-54.127
19.171	623.420	-54.251
19.179	623.756	-54.377
19.188	624.082	-54.501
19.196	624.412	-54.629
19.204	624.743	-54.757
19.213	625.072	-54.884
19.221	625.406	-55.012
19.229	625.735	-55.138
19.238	626.066	-55.264
19.246	626.398	-55.392
19.254	626.729	-55.521
19.263	627.061	-55.652
19.271	627.391	-55.782
19.279	627.719	-55.911
19.288	628.052	-56.042
19.296	628.380	-56.172
19.304	628.706	-56.304
19.313	629.046	-56.440
19.321	629.379	-56.575
19.329	629.711	-56.713
19.338	630.038	-56.851
19.346	630.368	-56.991
19.354	630.701	-57.131
