t /s	T /°C	HF /mw
14.938	148.132	-1.101
14.946	148.215	-1.101
14.955	148.298	-1.101
14.963	148.381	-1.101
14.971	148.464	-1.101
14.980	148.548	-1.100
14.988	148.631	-1.100
14.996	148.714	-1.100
15.005	148.798	-1.100
15.013	148.881	-1.100
15.021	148.964	-1.099
15.030	149.048	-1.099
15.038	149.131	-1.099
15.046	149.214	-1.099
15.055	149.298	-1.099
15.063	149.381	-1.099
15.071	149.465	-1.098
15.080	149.548	-1.098
15.088	149.631	-1.098
15.096	149.715	-1.098
15.105	149.797	-1.097
15.113	149.881	-1.097
15.121	149.965	-1.097
15.130	150.048	-1.097
15.138	150.131	-1.096
15.146	150.215	-1.096
15.155	150.298	-1.096
15.163	150.381	-1.096
15.171	150.464	-1.096
15.180	150.548	-1.095
15.188	150.631	-1.095
15.196	150.715	-1.095
15.205	150.798	-1.095
15.213	150.881	-1.095
15.221	150.964	-1.094
15.230	151.048	-1.094
15.238	151.131	-1.094
15.246	151.214	-1.094
15.255	151.298	-1.094
15.263	151.381	-1.093
15.271	151.464	-1.093
15.280	151.547	-1.093
15.288	151.631	-1.092
15.296	151.714	-1.092
15.305	151.798	-1.092
15.313	151.881	-1.092
15.321	151.964	-1.091
15.330	152.048	-1.091
15.338	152.131	-1.091
15.346	152.214	-1.091
15.355	152.298	-1.090
15.363	152.381	-1.090
15.371	152.464	-1.090
15.380	152.548	-1.090
15.388	152.631	-1.089
15.396	152.715	-1.089
15.405	152.798	-1.089
15.413	152.881	-1.089
15.421	152.964	-1.088
15.430	153.047	-1.088
15.438	153.131	-1.088
15.446	153.215	-1.088
15.455	153.297	-1.087
15.463	153.381	-1.087
15.471	153.464	-1.087
15.480	153.548	-1.087
15.488	153.631	-1.086
15.496	153.714	-1.086
15.505	153.798	-1.086
15.513	153.881	-1.086
15.521	153.964	-1.085
15.530	154.048	-1.085
15.538	154.131	-1.085
15.546	154.215	-1.085
15.555	154.298	-1.085
15.563	154.381	-1.084
15.571	154.465	-1.084
15.580	154.548	-1.084
15.588	154.631	-1.084
15.596	154.715	-1.084
15.605	154.798	-1.083
15.613	154.881	-1.083
15.621	154.964	-1.083
15.630	155.048	-1.083
15.638	155.131	-1.082
15.646	155.214	-1.082
15.655	155.297	-1.082
15.663	155.381	-1.082
15.671	155.464	-1.082
15.680	155.548	-1.081
15.688	155.631	-1.081
15.696	155.715	-1.081
15.705	155.798	-1.081
15.713	155.881	-1.081
15.721	155.965	-1.080
15.730	156.048	-1.080
15.738	156.132	-1.080
15.746	156.214	-1.080
15.755	156.298	-1.080
15.763	156.381	-1.080
15.771	156.465	-1.079
15.780	156.548	-1.079
15.788	156.632	-1.079
15.796	156.715	-1.079
15.805	156.798	-1.079
15.813	156.882	-1.078
15.821	156.965	-1.078
15.830	157.048	-1.078
15.838	157.131	-1.078
15.846	157.215	-1.078
15.855	157.299	-1.078
15.863	157.382	-1.077
15.871	157.465	-1.077
15.880	157.548	-1.077
15.888	157.632	-1.077
15.896	157.716	-1.077
15.905	157.798	-1.076
15.913	157.883	-1.076
15.921	157.965	-1.076
15.930	158.049	-1.076
15.938	158.132	-1.076
15.946	158.215	-1.076
15.955	158.298	-1.075
15.963	158.382	-1.075
15.971	158.465	-1.075
15.980	158.549	-1.075
15.988	158.632	-1.075
15.996	158.715	-1.074
16.005	158.798	-1.074
16.013	158.881	-1.074
16.021	158.965	-1.074
16.030	159.048	-1.074
16.038	159.132	-1.074
16.046	159.215	-1.073
16.055	159.299	-1.073
16.063	159.381	-1.073
16.071	159.466	-1.073
16.080	159.548	-1.073
16.088	159.632	-1.072
16.096	159.715	-1.072
16.105	159.798	-1.072
16.113	159.881	-1.072
16.121	159.965	-1.072
16.130	160.048	-1.071
16.138	160.131	-1.071
16.146	160.215	-1.071
16.155	160.298	-1.071
16.163	160.381	-1.071
16.171	160.465	-1.070
16.180	160.549	-1.070
16.188	160.631	-1.070
16.196	160.715	-1.070
16.205	160.798	-1.070
16.213	160.881	-1.069
16.221	160.965	-1.069
16.230	161.048	-1.069
16.238	161.132	-1.069
16.246	161.215	-1.069
16.255	161.298	-1.068
16.263	161.382	-1.068
16.271	161.465	-1.068
16.280	161.548	-1.068
16.288	161.632	-1.068
16.296	161.715	-1.067
16.305	161.799	-1.067
16.313	161.882	-1.067
16.321	161.965	-1.067
16.330	162.048	-1.066
16.338	162.131	-1.066
16.346	162.215	-1.066
16.355	162.299	-1.066
16.363	162.381	-1.066
16.371	162.465	-1.065
16.380	162.549	-1.065
16.388	162.632	-1.065
16.396	162.715	-1.065
16.405	162.798	-1.065
16.413	162.881	-1.064
16.421	162.965	-1.064
16.430	163.048	-1.064
16.438	163.131	-1.064
16.446	163.214	-1.064
16.455	163.298	-1.063
16.463	163.381	-1.063
16.471	163.464	-1.063
16.480	163.548	-1.063
16.488	163.632	-1.063
16.496	163.715	-1.062
16.505	163.798	-1.062
16.513	163.881	-1.062
16.521	163.965	-1.062
16.530	164.049	-1.062
16.538	164.132	-1.062
16.546	164.215	-1.062
16.555	164.298	-1.061
16.563	164.381	-1.061
16.571	164.465	-1.061
16.580	164.549	-1.061
16.588	164.632	-1.061
16.596	164.715	-1.061
16.605	164.799	-1.061
16.613	164.882	-1.060
16.621	164.965	-1.060
16.630	165.047	-1.060
16.638	165.132	-1.060
16.646	165.215	-1.060
16.655	165.299	-1.060
16.663	165.382	-1.059
16.671	165.465	-1.059
16.680	165.548	-1.059
16.688	165.632	-1.059
16.696	165.715	-1.059
16.705	165.799	-1.059
16.713	165.882	-1.058
16.721	165.965	-1.058
16.730	166.049	-1.058
16.738	166.132	-1.058
16.746	166.215	-1.058
16.755	166.299	-1.058
16.763	166.381	-1.057
16.771	166.466	-1.057
16.780	166.549	-1.057
16.788	166.632	-1.057
16.796	166.715	-1.057
16.805	166.799	-1.057
16.813	166.882	-1.057
16.821	166.965	-1.056
16.830	167.048	-1.056
16.838	167.132	-1.056
16.846	167.215	-1.056
16.855	167.299	-1.056
16.863	167.382	-1.056
16.871	167.466	-1.056
16.880	167.549	-1.055
16.888	167.632	-1.055
16.896	167.715	-1.055
16.905	167.799	-1.055
16.913	167.882	-1.055
16.921	167.965	-1.055
16.930	168.049	-1.055
16.938	168.132	-1.054
16.946	168.215	-1.054
16.955	168.299	-1.054
16.963	168.382	-1.054
16.971	168.466	-1.054
16.980	168.549	-1.054
16.988	168.632	-1.054
16.996	168.716	-1.054
17.005	168.798	-1.053
17.013	168.882	-1.053
17.021	168.965	-1.053
17.030	169.049	-1.053
17.038	169.132	-1.053
17.046	169.215	-1.053
17.055	169.299	-1.053
17.063	169.382	-1.053
17.071	169.466	-1.053
17.080	169.549	-1.052
17.088	169.632	-1.052
17.096	169.715	-1.052
17.105	169.799	-1.052
17.113	169.882	-1.052
17.121	169.965	-1.052
17.130	170.048	-1.052
17.138	170.132	-1.052
17.146	170.216	-1.052
17.155	170.299	-1.051
17.163	170.382	-1.051
17.171	170.466	-1.051
17.180	170.549	-1.051
17.188	170.632	-1.051
17.196	170.715	-1.051
17.205	170.799	-1.051
17.213	170.882	-1.051
17.221	170.966	-1.050
17.230	171.049	-1.050
17.238	171.132	-1.050
17.246	171.216	-1.050
17.255	171.299	-1.050
17.263	171.382	-1.050
17.271	171.466	-1.050
17.280	171.549	-1.049
17.288	171.632	-1.049
17.296	171.716	-1.049
17.305	171.799	-1.049
17.313	171.882	-1.049
17.321	171.965	-1.049
17.330	172.048	-1.048
17.338	172.132	-1.048
17.346	172.215	-1.048
17.355	172.299	-1.048
17.363	172.382	-1.048
17.371	172.466	-1.047
17.380	172.549	-1.047
17.388	172.632	-1.047
17.396	172.715	-1.047
17.405	172.798	-1.047
17.413	172.882	-1.046
17.421	172.966	-1.046
17.430	173.048	-1.046
17.438	173.132	-1.046
17.446	173.216	-1.046
17.455	173.299	-1.045
17.463	173.382	-1.045
17.471	173.465	-1.045
17.480	173.548	-1.045
17.488	173.632	-1.045
17.496	173.715	-1.044
17.505	173.798	-1.044
17.513	173.882	-1.044
17.521	173.964	-1.044
17.530	174.048	-1.043
17.538	174.131	-1.043
17.546	174.215	-1.043
17.555	174.298	-1.043
17.563	174.382	-1.043
17.571	174.465	-1.042
17.580	174.548	-1.042
17.588	174.631	-1.042
17.596	174.715	-1.042
17.605	174.798	-1.042
17.613	174.882	-1.041
17.621	174.965	-1.041
17.630	175.048	-1.041
17.638	175.132	-1.041
17.646	175.215	-1.041
17.655	175.298	-1.040
17.663	175.382	-1.040
17.671	175.465	-1.040
17.680	175.548	-1.040
17.688	175.631	-1.039
17.696	175.715	-1.039
17.705	175.798	-1.039
17.713	175.882	-1.039
