t /s	T /°C	HF /mw
4.704	139.218	-6.545
4.707	139.305	-6.545
4.709	139.387	-6.546
4.711	139.470	-6.546
4.713	139.553	-6.547
4.715	139.635	-6.548
4.718	139.719	-6.549
4.720	139.801	-6.549
4.722	139.887	-6.549
4.724	139.969	-6.550
4.726	140.051	-6.550
4.729	140.140	-6.550
4.731	140.225	-6.550
4.733	140.308	-6.550
4.735	140.390	-6.550
4.737	140.466	-6.550
4.740	140.553	-6.550
4.742	140.634	-6.550
4.744	140.723	-6.550
4.746	140.807	-6.551
4.748	140.890	-6.551
4.750	140.970	-6.551
4.753	141.054	-6.551
4.755	141.136	-6.551
4.757	141.218	-6.551
4.759	141.303	-6.552
4.761	141.385	-6.552
4.764	141.470	-6.552
4.766	141.555	-6.552
4.768	141.638	-6.552
4.770	141.725	-6.552
4.772	141.805	-6.552
4.775	141.891	-6.553
4.777	141.970	-6.553
4.779	142.051	-6.553
4.781	142.139	-6.553
4.783	142.219	-6.553
4.786	142.305	-6.553
4.788	142.390	-6.553
4.790	142.473	-6.553
4.792	142.554	-6.553
4.794	142.635	-6.553
4.797	142.721	-6.553
4.799	142.808	-6.553
4.801	142.893	-6.553
4.803	142.977	-6.553
4.805	143.058	-6.552
4.807	143.140	-6.552
4.810	143.222	-6.552
4.812	143.306	-6.552
4.814	143.387	-6.553
4.816	143.475	-6.553
4.818	143.556	-6.553
4.821	143.640	-6.553
4.823	143.723	-6.553
4.825	143.806	-6.553
4.827	143.889	-6.554
4.829	143.974	-6.554
4.832	144.055	-6.554
4.834	144.145	-6.554
4.836	144.222	-6.554
4.838	144.308	-6.554
4.840	144.391	-6.554
4.843	144.476	-6.553
4.845	144.563	-6.553
4.847	144.642	-6.553
4.849	144.725	-6.553
4.851	144.810	-6.553
4.853	144.895	-6.553
4.856	144.978	-6.554
4.858	145.060	-6.554
4.860	145.145	-6.554
4.862	145.227	-6.554
4.864	145.314	-6.554
4.867	145.395	-6.554
4.869	145.482	-6.554
4.871	145.556	-6.554
4.873	145.642	-6.554
4.875	145.723	-6.554
4.878	145.810	-6.555
4.880	145.894	-6.555
4.882	145.980	-6.555
4.884	146.057	-6.555
4.886	146.144	-6.555
4.889	146.226	-6.555
4.891	146.311	-6.555
4.893	146.395	-6.556
4.895	146.479	-6.556
4.897	146.561	-6.556
4.900	146.646	-6.556
4.902	146.729	-6.556
4.904	146.812	-6.556
4.906	146.894	-6.556
4.908	146.979	-6.556
4.910	147.063	-6.556
4.913	147.150	-6.556
4.915	147.232	-6.556
4.917	147.313	-6.556
4.919	147.401	-6.556
4.921	147.486	-6.556
4.924	147.563	-6.556
4.926	147.653	-6.556
4.928	147.735	-6.557
4.930	147.815	-6.557
4.932	147.897	-6.557
4.935	147.981	-6.557
4.937	148.066	-6.558
4.939	148.152	-6.558
4.941	148.233	-6.559
4.943	148.321	-6.559
4.946	148.406	-6.560
4.948	148.485	-6.560
4.950	148.566	-6.560
4.952	148.653	-6.560
4.954	148.736	-6.560
4.956	148.822	-6.560
4.959	148.902	-6.561
4.961	148.986	-6.561
4.963	149.066	-6.561
4.965	149.152	-6.561
4.967	149.235	-6.562
4.970	149.322	-6.562
4.972	149.403	-6.562
4.974	149.490	-6.563
4.976	149.568	-6.563
4.978	149.658	-6.563
4.981	149.737	-6.564
4.983	149.825	-6.564
4.985	149.907	-6.564
4.987	149.991	-6.564
4.989	150.072	-6.565
4.992	150.158	-6.565
4.994	150.243	-6.565
4.996	150.323	-6.565
4.998	150.406	-6.565
5.000	150.494	-6.565
5.003	150.578	-6.565
5.005	150.658	-6.566
5.007	150.740	-6.566
5.009	150.828	-6.566
5.011	150.907	-6.566
5.013	150.992	-6.567
5.016	151.074	-6.567
5.018	151.160	-6.568
5.020	151.243	-6.568
5.022	151.330	-6.569
5.024	151.413	-6.570
5.027	151.498	-6.570
5.029	151.581	-6.571
5.031	151.665	-6.571
5.033	151.747	-6.572
5.035	151.826	-6.572
5.038	151.916	-6.572
5.040	151.994	-6.572
5.042	152.077	-6.573
5.044	152.160	-6.573
5.046	152.242	-6.573
5.049	152.327	-6.573
5.051	152.411	-6.573
5.053	152.496	-6.573
5.055	152.578	-6.574
5.057	152.662	-6.574
5.060	152.746	-6.574
5.062	152.828	-6.574
5.064	152.914	-6.574
5.066	152.998	-6.574
5.068	153.081	-6.575
5.070	153.162	-6.575
5.073	153.243	-6.575
5.075	153.329	-6.575
5.077	153.411	-6.576
5.079	153.494	-6.576
5.081	153.578	-6.576
5.084	153.660	-6.576
5.086	153.745	-6.577
5.088	153.829	-6.577
5.090	153.918	-6.577
5.092	154.000	-6.578
5.095	154.079	-6.578
5.097	154.165	-6.579
5.099	154.245	-6.579
5.101	154.330	-6.580
5.103	154.411	-6.580
5.106	154.497	-6.581
5.108	154.580	-6.582
5.110	154.666	-6.582
5.112	154.747	-6.582
5.114	154.829	-6.583
5.116	154.913	-6.583
5.119	154.994	-6.583
5.121	155.080	-6.583
5.123	155.161	-6.583
5.125	155.248	-6.584
5.127	155.331	-6.584
5.130	155.418	-6.584
5.132	155.499	-6.585
5.134	155.581	-6.585
5.136	155.662	-6.585
5.138	155.750	-6.586
5.141	155.835	-6.586
5.143	155.915	-6.587
5.145	155.998	-6.587
5.147	156.084	-6.587
5.149	156.165	-6.587
5.152	156.250	-6.587
5.154	156.335	-6.587
5.156	156.418	-6.587
5.158	156.502	-6.587
5.160	156.582	-6.588
5.163	156.668	-6.588
5.165	156.753	-6.589
5.167	156.832	-6.589
5.169	156.919	-6.590
5.171	157.006	-6.590
5.173	157.090	-6.591
5.176	157.174	-6.592
5.178	157.252	-6.592
5.180	157.328	-6.593
5.182	157.411	-6.593
5.184	157.500	-6.593
5.187	157.587	-6.593
5.189	157.668	-6.594
5.191	157.753	-6.594
