t /s	T /°C	HF /mw
8.838	371.314	-4.731
8.846	371.483	-4.735
8.854	371.648	-4.739
8.863	371.814	-4.743
8.871	371.983	-4.747
8.879	372.150	-4.750
8.888	372.316	-4.753
8.896	372.486	-4.756
8.904	372.651	-4.758
8.913	372.818	-4.760
8.921	372.985	-4.762
8.929	373.152	-4.764
8.938	373.319	-4.766
8.946	373.489	-4.768
8.954	373.658	-4.770
8.963	373.821	-4.771
8.971	373.991	-4.773
8.979	374.160	-4.775
8.988	374.328	-4.777
8.996	374.491	-4.779
9.004	374.658	-4.781
9.013	374.827	-4.782
9.021	374.993	-4.784
9.029	375.162	-4.786
9.038	375.331	-4.787
9.046	375.492	-4.788
9.054	375.663	-4.790
9.063	375.829	-4.791
9.071	376.000	-4.792
9.079	376.163	-4.793
9.088	376.333	-4.795
9.096	376.503	-4.796
9.104	376.667	-4.797
9.113	376.836	-4.798
9.121	377.005	-4.799
9.129	377.173	-4.800
9.138	377.342	-4.802
9.146	377.511	-4.803
9.154	377.676	-4.804
9.163	377.841	-4.805
9.171	378.009	-4.806
9.179	378.174	-4.807
9.188	378.340	-4.808
9.196	378.510	-4.810
9.204	378.679	-4.811
9.213	378.842	-4.812
9.221	379.012	-4.813
9.229	379.180	-4.815
9.238	379.356	-4.817
9.246	379.517	-4.817
9.254	379.688	-4.818
9.263	379.853	-4.819
9.271	380.020	-4.820
9.279	380.190	-4.821
9.288	380.360	-4.822
9.296	380.525	-4.823
9.304	380.692	-4.824
9.313	380.861	-4.825
9.321	381.025	-4.825
9.329	381.196	-4.827
9.338	381.361	-4.828
9.346	381.530	-4.829
9.354	381.694	-4.830
9.363	381.862	-4.831
9.371	382.030	-4.832
9.379	382.197	-4.833
9.388	382.367	-4.833
9.396	382.536	-4.834
9.404	382.700	-4.835
9.413	382.868	-4.836
9.421	383.037	-4.837
9.429	383.206	-4.837
9.438	383.377	-4.838
9.446	383.540	-4.838
9.454	383.708	-4.839
9.463	383.877	-4.840
9.471	384.050	-4.841
9.479	384.215	-4.841
9.488	384.378	-4.841
9.496	384.548	-4.841
9.504	384.716	-4.842
9.513	384.891	-4.843
9.521	385.052	-4.843
9.529	385.222	-4.844
9.538	385.388	-4.845
9.546	385.556	-4.846
9.554	385.729	-4.847
9.563	385.890	-4.847
9.571	386.065	-4.848
9.579	386.234	-4.849
9.588	386.402	-4.849
9.596	386.568	-4.849
9.604	386.739	-4.850
9.613	386.909	-4.850
9.621	387.079	-4.851
9.629	387.242	-4.851
9.638	387.408	-4.851
9.646	387.577	-4.852
9.654	387.745	-4.853
9.663	387.908	-4.853
9.671	388.081	-4.854
9.679	388.251	-4.855
9.688	388.420	-4.855
9.696	388.588	-4.856
9.704	388.755	-4.856
9.713	388.925	-4.857
9.721	389.092	-4.857
9.729	389.260	-4.858
9.738	389.427	-4.858
9.746	389.597	-4.858
9.754	389.764	-4.858
9.763	389.931	-4.859
9.771	390.098	-4.859
9.779	390.269	-4.860
9.788	390.438	-4.861
9.796	390.602	-4.861
9.804	390.773	-4.862
9.813	390.940	-4.862
9.821	391.111	-4.863
9.829	391.277	-4.863
9.838	391.445	-4.864
9.846	391.618	-4.865
9.854	391.784	-4.865
9.863	391.953	-4.866
9.871	392.116	-4.866
9.879	392.291	-4.867
9.888	392.455	-4.867
9.896	392.618	-4.868
9.904	392.790	-4.869
9.913	392.957	-4.869
9.921	393.127	-4.870
9.929	393.293	-4.871
9.938	393.463	-4.871
9.946	393.630	-4.872
9.954	393.802	-4.872
9.963	393.968	-4.873
9.971	394.133	-4.874
9.979	394.302	-4.874
9.988	394.477	-4.875
9.996	394.646	-4.875
10.004	394.812	-4.876
10.013	394.979	-4.876
10.021	395.148	-4.877
10.029	395.315	-4.878
10.038	395.486	-4.879
10.046	395.653	-4.879
10.054	395.823	-4.880
10.063	395.991	-4.880
10.071	396.160	-4.881
10.079	396.329	-4.882
