t /s	T /°C	HF /mw
16.521	68.051	-0.454
16.529	68.136	-0.454
16.538	68.222	-0.454
16.546	68.302	-0.454
16.554	68.389	-0.454
16.563	68.469	-0.454
16.571	68.551	-0.454
16.579	68.634	-0.454
16.588	68.719	-0.454
16.596	68.802	-0.454
16.604	68.890	-0.454
16.613	68.970	-0.454
16.621	69.055	-0.453
16.629	69.141	-0.453
16.638	69.220	-0.453
16.646	69.302	-0.453
16.654	69.388	-0.453
16.663	69.468	-0.453
16.671	69.555	-0.453
16.679	69.637	-0.453
16.688	69.717	-0.453
16.696	69.809	-0.453
16.704	69.894	-0.453
16.713	69.971	-0.453
16.721	70.062	-0.453
16.729	70.140	-0.453
16.738	70.224	-0.452
16.746	70.303	-0.452
16.754	70.389	-0.452
16.763	70.471	-0.452
16.771	70.560	-0.452
16.779	70.642	-0.452
16.788	70.730	-0.452
16.796	70.811	-0.452
16.804	70.893	-0.452
16.813	70.975	-0.452
16.821	71.061	-0.452
16.829	71.141	-0.451
16.838	71.226	-0.451
16.846	71.312	-0.451
16.854	71.395	-0.451
16.863	71.478	-0.451
16.871	71.561	-0.451
16.879	71.644	-0.451
16.888	71.728	-0.451
16.896	71.814	-0.451
16.904	71.897	-0.451
16.913	71.984	-0.451
16.921	72.065	-0.451
16.929	72.150	-0.451
16.938	72.231	-0.450
16.946	72.314	-0.450
16.954	72.396	-0.450
16.963	72.484	-0.450
16.971	72.558	-0.450
16.979	72.649	-0.450
16.988	72.738	-0.450
16.996	72.817	-0.450
17.004	72.904	-0.450
17.013	72.989	-0.450
17.021	73.068	-0.450
17.029	73.154	-0.450
17.038	73.241	-0.449
17.046	73.325	-0.449
17.054	73.406	-0.449
17.063	73.488	-0.449
17.071	73.572	-0.449
17.079	73.658	-0.449
17.088	73.739	-0.449
17.096	73.825	-0.449
17.104	73.909	-0.449
17.113	73.988	-0.449
17.121	74.075	-0.449
17.129	74.163	-0.449
17.138	74.245	-0.449
17.146	74.323	-0.449
17.154	74.412	-0.449
17.163	74.495	-0.449
17.171	74.581	-0.448
17.179	74.658	-0.448
17.188	74.750	-0.448
17.196	74.825	-0.448
17.204	74.913	-0.448
17.213	74.994	-0.448
17.221	75.078	-0.448
17.229	75.163	-0.448
17.238	75.245	-0.448
17.246	75.329	-0.448
17.254	75.411	-0.448
17.263	75.497	-0.448
17.271	75.580	-0.448
17.279	75.668	-0.447
17.288	75.748	-0.447
17.296	75.831	-0.447
17.304	75.919	-0.447
17.313	76.006	-0.447
17.321	76.085	-0.447
17.329	76.168	-0.447
17.338	76.252	-0.447
17.346	76.336	-0.447
17.354	76.418	-0.447
17.363	76.499	-0.447
17.371	76.587	-0.447
17.379	76.671	-0.447
17.388	76.750	-0.447
17.396	76.836	-0.447
17.404	76.917	-0.447
17.413	77.002	-0.447
17.421	77.078	-0.446
17.429	77.164	-0.446
17.438	77.252	-0.446
17.446	77.337	-0.446
17.454	77.420	-0.446
17.463	77.500	-0.446
17.471	77.582	-0.446
17.479	77.668	-0.446
17.488	77.754	-0.446
17.496	77.832	-0.446
17.504	77.912	-0.446
17.513	78.007	-0.446
17.521	78.090	-0.446
17.529	78.169	-0.445
17.538	78.252	-0.445
17.546	78.327	-0.445
17.554	78.420	-0.445
17.563	78.504	-0.445
17.571	78.591	-0.445
17.579	78.671	-0.445
17.588	78.757	-0.445
17.596	78.845	-0.445
17.604	78.924	-0.445
17.613	79.009	-0.445
17.621	79.096	-0.445
17.629	79.173	-0.445
17.638	79.256	-0.445
17.646	79.335	-0.445
17.654	79.422	-0.445
17.663	79.508	-0.444
17.671	79.591	-0.444
17.679	79.677	-0.444
17.688	79.764	-0.444
17.696	79.846	-0.444
17.704	79.923	-0.444
17.713	80.010	-0.444
17.721	80.092	-0.444
17.729	80.177	-0.444
17.738	80.262	-0.444
17.746	80.345	-0.444
17.754	80.427	-0.444
17.763	80.507	-0.444
17.771	80.592	-0.443
17.779	80.673	-0.443
17.788	80.757	-0.443
17.796	80.841	-0.443
17.804	80.929	-0.443
17.813	81.007	-0.443
17.821	81.090	-0.443
17.829	81.172	-0.443
17.838	81.261	-0.443
17.846	81.342	-0.443
17.854	81.426	-0.443
17.863	81.512	-0.443
17.871	81.591	-0.443
17.879	81.676	-0.443
17.888	81.758	-0.442
17.896	81.846	-0.442
17.904	81.926	-0.442
17.913	82.012	-0.442
17.921	82.092	-0.442
17.929	82.176	-0.442
17.938	82.263	-0.442
17.946	82.343	-0.442
17.954	82.431	-0.442
17.963	82.512	-0.442
17.971	82.597	-0.442
17.979	82.676	-0.442
17.988	82.756	-0.441
17.996	82.843	-0.441
18.004	82.930	-0.441
18.013	83.011	-0.441
18.021	83.098	-0.441
18.029	83.178	-0.441
18.038	83.262	-0.441
18.046	83.345	-0.441
18.054	83.432	-0.441
18.063	83.512	-0.441
18.071	83.602	-0.441
18.079	83.679	-0.441
18.088	83.763	-0.441
18.096	83.851	-0.440
18.104	83.931	-0.440
18.113	84.014	-0.440
18.121	84.096	-0.440
18.129	84.180	-0.440
18.138	84.265	-0.440
18.146	84.351	-0.440
18.154	84.432	-0.440
18.163	84.519	-0.440
18.171	84.602	-0.440
18.179	84.688	-0.440
18.188	84.768	-0.440
18.196	84.854	-0.440
18.204	84.934	-0.440
18.213	85.015	-0.439
18.221	85.101	-0.439
18.229	85.181	-0.439
18.238	85.264	-0.439
18.246	85.348	-0.439
18.254	85.430	-0.439
18.263	85.518	-0.439
18.271	85.597	-0.439
18.279	85.687	-0.439
18.288	85.772	-0.439
18.296	85.854	-0.438
