t /s	T /°C	HF /mw
8.838	0.114	-4.731
8.846	0.283	-4.735
8.854	0.448	-4.739
8.863	0.614	-4.743
8.871	0.783	-4.747
8.879	0.950	-4.750
8.888	1.116	-4.753
8.896	1.286	-4.756
8.904	1.451	-4.758
8.913	1.618	-4.760
8.921	1.785	-4.762
8.929	1.952	-4.764
8.938	2.119	-4.766
8.946	2.289	-4.768
8.954	2.458	-4.770
8.963	2.621	-4.771
8.971	2.791	-4.773
8.979	2.960	-4.775
8.988	3.128	-4.777
8.996	3.291	-4.779
9.004	3.458	-4.781
9.013	3.627	-4.782
9.021	3.793	-4.784
9.029	3.962	-4.786
9.038	4.131	-4.787
9.046	4.292	-4.788
9.054	4.463	-4.790
9.063	4.629	-4.791
9.071	4.800	-4.792
9.079	4.963	-4.793
9.088	5.133	-4.795
9.096	5.303	-4.796
9.104	5.467	-4.797
9.113	5.636	-4.798
9.121	5.805	-4.799
9.129	5.973	-4.800
9.138	6.142	-4.802
9.146	6.311	-4.803
9.154	6.476	-4.804
9.163	6.641	-4.805
9.171	6.809	-4.806
9.179	6.974	-4.807
9.188	7.140	-4.808
9.196	7.310	-4.810
9.204	7.479	-4.811
9.213	7.642	-4.812
9.221	7.812	-4.813
9.229	7.980	-4.815
9.238	8.156	-4.817
9.246	8.317	-4.817
9.254	8.488	-4.818
9.263	8.653	-4.819
9.271	8.820	-4.820
9.279	8.990	-4.821
9.288	9.160	-4.822
9.296	9.325	-4.823
9.304	9.492	-4.824
9.313	9.661	-4.825
9.321	9.826	-4.825
9.329	9.996	-4.827
9.338	10.161	-4.828
9.346	10.330	-4.829
9.354	10.494	-4.830
9.363	10.662	-4.831
9.371	10.830	-4.832
9.379	10.997	-4.833
9.388	11.167	-4.833
9.396	11.336	-4.834
9.404	11.500	-4.835
9.413	11.668	-4.836
9.421	11.837	-4.837
9.429	12.006	-4.837
9.438	12.177	-4.838
9.446	12.340	-4.838
9.454	12.508	-4.839
9.463	12.677	-4.840
9.471	12.850	-4.841
9.479	13.015	-4.841
9.488	13.178	-4.841
9.496	13.347	-4.841
9.504	13.516	-4.842
9.513	13.691	-4.843
9.521	13.852	-4.843
9.529	14.022	-4.844
9.538	14.188	-4.845
9.546	14.356	-4.846
9.554	14.529	-4.847
9.563	14.690	-4.847
9.571	14.865	-4.848
9.579	15.034	-4.849
9.588	15.202	-4.849
9.596	15.368	-4.849
9.604	15.539	-4.850
9.613	15.709	-4.850
9.621	15.879	-4.851
9.629	16.042	-4.851
9.638	16.208	-4.851
9.646	16.377	-4.852
9.654	16.545	-4.853
9.663	16.708	-4.853
9.671	16.881	-4.854
9.679	17.051	-4.855
9.688	17.220	-4.855
9.696	17.388	-4.856
9.704	17.555	-4.856
9.713	17.725	-4.857
9.721	17.892	-4.857
9.729	18.060	-4.858
9.738	18.227	-4.858
9.746	18.397	-4.858
9.754	18.564	-4.858
9.763	18.731	-4.859
9.771	18.898	-4.859
9.779	19.070	-4.860
9.788	19.238	-4.861
9.796	19.402	-4.861
9.804	19.573	-4.862
9.813	19.740	-4.862
9.821	19.911	-4.863
9.829	20.077	-4.863
9.838	20.245	-4.864
9.846	20.418	-4.865
9.854	20.584	-4.865
9.863	20.753	-4.866
9.871	20.917	-4.866
9.879	21.091	-4.867
9.888	21.255	-4.867
9.896	21.418	-4.868
9.904	21.590	-4.869
9.913	21.757	-4.869
9.921	21.927	-4.870
9.929	22.093	-4.871
9.938	22.263	-4.871
9.946	22.430	-4.872
9.954	22.602	-4.872
9.963	22.768	-4.873
9.971	22.933	-4.874
9.979	23.102	-4.874
9.988	23.277	-4.875
9.996	23.446	-4.875
10.004	23.612	-4.876
10.013	23.779	-4.876
10.021	23.948	-4.877
