t /s	T /°C	HF /mw
8.838	306.115	-4.731
8.846	306.283	-4.735
8.854	306.448	-4.739
8.863	306.614	-4.743
8.871	306.783	-4.747
8.879	306.950	-4.750
8.888	307.116	-4.753
8.896	307.286	-4.756
8.904	307.451	-4.758
8.913	307.618	-4.760
8.921	307.785	-4.762
8.929	307.952	-4.764
8.938	308.119	-4.766
8.946	308.289	-4.768
8.954	308.458	-4.770
8.963	308.621	-4.771
8.971	308.791	-4.773
8.979	308.960	-4.775
8.988	309.128	-4.777
8.996	309.291	-4.779
9.004	309.458	-4.781
9.013	309.627	-4.782
9.021	309.793	-4.784
9.029	309.962	-4.786
9.038	310.131	-4.787
9.046	310.292	-4.788
9.054	310.463	-4.790
9.063	310.629	-4.791
9.071	310.800	-4.792
9.079	310.963	-4.793
9.088	311.133	-4.795
9.096	311.303	-4.796
9.104	311.467	-4.797
9.113	311.636	-4.798
9.121	311.805	-4.799
9.129	311.973	-4.800
9.138	312.142	-4.802
9.146	312.311	-4.803
9.154	312.476	-4.804
9.163	312.640	-4.805
9.171	312.809	-4.806
9.179	312.974	-4.807
9.188	313.140	-4.808
9.196	313.310	-4.810
9.204	313.479	-4.811
9.213	313.642	-4.812
9.221	313.812	-4.813
9.229	313.980	-4.815
9.238	314.156	-4.817
9.246	314.317	-4.817
9.254	314.488	-4.818
9.263	314.653	-4.819
9.271	314.820	-4.820
9.279	314.990	-4.821
9.288	315.160	-4.822
9.296	315.325	-4.823
9.304	315.492	-4.824
9.313	315.661	-4.825
9.321	315.826	-4.825
9.329	315.996	-4.827
9.338	316.161	-4.828
9.346	316.330	-4.829
9.354	316.494	-4.830
9.363	316.662	-4.831
9.371	316.830	-4.832
9.379	316.997	-4.833
9.388	317.167	-4.833
9.396	317.336	-4.834
9.404	317.500	-4.835
9.413	317.668	-4.836
9.421	317.837	-4.837
9.429	318.006	-4.837
9.438	318.177	-4.838
9.446	318.340	-4.838
9.454	318.508	-4.839
9.463	318.677	-4.840
9.471	318.850	-4.841
9.479	319.015	-4.841
9.488	319.178	-4.841
9.496	319.347	-4.841
9.504	319.516	-4.842
9.513	319.691	-4.843
9.521	319.852	-4.843
9.529	320.022	-4.844
9.538	320.188	-4.845
9.546	320.356	-4.846
9.554	320.529	-4.847
9.563	320.690	-4.847
9.571	320.865	-4.848
9.579	321.034	-4.849
9.588	321.202	-4.849
9.596	321.368	-4.849
9.604	321.539	-4.850
9.613	321.709	-4.850
9.621	321.879	-4.851
9.629	322.043	-4.851
9.638	322.208	-4.851
9.646	322.377	-4.852
9.654	322.545	-4.853
9.663	322.708	-4.853
9.671	322.881	-4.854
9.679	323.051	-4.855
9.688	323.220	-4.855
9.696	323.388	-4.856
9.704	323.555	-4.856
9.713	323.725	-4.857
9.721	323.892	-4.857
9.729	324.060	-4.858
9.738	324.227	-4.858
9.746	324.397	-4.858
9.754	324.564	-4.858
9.763	324.731	-4.859
9.771	324.898	-4.859
9.779	325.070	-4.860
9.788	325.238	-4.861
9.796	325.402	-4.861
9.804	325.573	-4.862
9.813	325.740	-4.862
9.821	325.911	-4.863
9.829	326.077	-4.863
9.838	326.245	-4.864
9.846	326.418	-4.865
9.854	326.584	-4.865
9.863	326.753	-4.866
9.871	326.917	-4.866
9.879	327.091	-4.867
9.888	327.255	-4.867
9.896	327.418	-4.868
9.904	327.591	-4.869
9.913	327.757	-4.869
9.921	327.927	-4.870
9.929	328.093	-4.871
9.938	328.263	-4.871
9.946	328.430	-4.872
9.954	328.602	-4.872
9.963	328.768	-4.873
9.971	328.933	-4.874
9.979	329.102	-4.874
9.988	329.277	-4.875
9.996	329.446	-4.875
10.004	329.612	-4.876
10.013	329.779	-4.876
10.021	329.948	-4.877
10.029	330.115	-4.878
10.038	330.286	-4.879
10.046	330.452	-4.879
10.054	330.623	-4.880
10.063	330.791	-4.880
