t /s	T /°C	HF /mw
17.888	74.018	-5.545
17.896	74.105	-5.545
17.904	74.187	-5.546
17.913	74.270	-5.546
17.921	74.352	-5.547
17.929	74.435	-5.548
17.938	74.519	-5.549
17.946	74.601	-5.549
17.954	74.687	-5.549
17.963	74.768	-5.550
17.971	74.851	-5.550
17.979	74.940	-5.550
17.988	75.025	-5.550
17.996	75.108	-5.550
18.004	75.190	-5.550
18.013	75.266	-5.550
18.021	75.353	-5.550
18.029	75.434	-5.550
18.038	75.523	-5.550
18.046	75.607	-5.551
18.054	75.690	-5.551
18.063	75.770	-5.551
18.071	75.854	-5.551
18.079	75.936	-5.551
18.088	76.018	-5.551
18.096	76.103	-5.552
18.104	76.185	-5.552
18.113	76.270	-5.552
18.121	76.355	-5.552
18.129	76.438	-5.552
18.138	76.525	-5.552
18.146	76.606	-5.552
18.154	76.691	-5.553
18.163	76.770	-5.553
18.171	76.851	-5.553
18.179	76.939	-5.553
18.188	77.019	-5.553
18.196	77.105	-5.553
18.204	77.190	-5.553
18.213	77.273	-5.553
18.221	77.354	-5.553
18.229	77.435	-5.553
18.238	77.521	-5.553
18.246	77.608	-5.553
18.254	77.693	-5.553
18.263	77.777	-5.553
18.271	77.857	-5.552
18.279	77.940	-5.552
18.288	78.022	-5.552
18.296	78.106	-5.552
18.304	78.187	-5.553
18.313	78.275	-5.553
18.321	78.356	-5.553
18.329	78.440	-5.553
18.338	78.523	-5.553
18.346	78.606	-5.553
18.354	78.689	-5.554
18.363	78.774	-5.554
18.371	78.855	-5.554
18.379	78.945	-5.554
18.388	79.022	-5.554
18.396	79.108	-5.554
18.404	79.191	-5.554
18.413	79.276	-5.553
18.421	79.363	-5.553
18.429	79.442	-5.553
18.438	79.525	-5.553
18.446	79.610	-5.553
18.454	79.695	-5.553
18.463	79.778	-5.554
18.471	79.860	-5.554
18.479	79.945	-5.554
18.488	80.027	-5.554
18.496	80.114	-5.554
18.504	80.195	-5.554
18.513	80.282	-5.554
18.521	80.356	-5.554
18.529	80.442	-5.554
18.538	80.523	-5.554
18.546	80.610	-5.555
18.554	80.694	-5.555
18.563	80.780	-5.555
18.571	80.857	-5.555
18.579	80.944	-5.555
18.588	81.026	-5.555
18.596	81.111	-5.555
18.604	81.195	-5.556
18.613	81.279	-5.556
18.621	81.361	-5.556
18.629	81.446	-5.556
18.638	81.529	-5.556
18.646	81.612	-5.556
18.654	81.694	-5.556
18.663	81.779	-5.556
18.671	81.863	-5.556
18.679	81.950	-5.556
18.688	82.032	-5.556
18.696	82.113	-5.556
18.704	82.201	-5.556
18.713	82.286	-5.556
18.721	82.363	-5.556
18.729	82.453	-5.556
18.738	82.535	-5.557
18.746	82.615	-5.557
18.754	82.697	-5.557
18.763	82.781	-5.557
18.771	82.866	-5.558
18.779	82.952	-5.558
18.788	83.033	-5.559
18.796	83.121	-5.559
18.804	83.206	-5.560
18.813	83.285	-5.560
18.821	83.366	-5.560
18.829	83.453	-5.560
18.838	83.536	-5.560
18.846	83.622	-5.560
18.854	83.702	-5.561
18.863	83.786	-5.561
18.871	83.866	-5.561
18.879	83.952	-5.561
18.888	84.035	-5.562
18.896	84.122	-5.562
18.904	84.203	-5.562
18.913	84.290	-5.563
18.921	84.368	-5.563
18.929	84.458	-5.563
18.938	84.537	-5.564
18.946	84.625	-5.564
18.954	84.707	-5.564
18.963	84.791	-5.564
18.971	84.872	-5.565
18.979	84.958	-5.565
18.988	85.043	-5.565
18.996	85.123	-5.565
19.004	85.206	-5.565
19.013	85.294	-5.565
19.021	85.378	-5.565
19.029	85.458	-5.566
19.038	85.540	-5.566
19.046	85.628	-5.566
19.054	85.707	-5.566
19.063	85.792	-5.567
19.071	85.874	-5.567
19.079	85.960	-5.568
19.088	86.043	-5.568
19.096	86.130	-5.569
19.104	86.213	-5.570
19.113	86.298	-5.570
19.121	86.381	-5.571
19.129	86.465	-5.571
19.138	86.547	-5.572
19.146	86.626	-5.572
19.154	86.716	-5.572
19.163	86.794	-5.572
19.171	86.877	-5.573
19.179	86.960	-5.573
19.188	87.042	-5.573
19.196	87.127	-5.573
19.204	87.211	-5.573
19.213	87.296	-5.573
19.221	87.378	-5.574
19.229	87.462	-5.574
19.238	87.546	-5.574
19.246	87.628	-5.574
19.254	87.714	-5.574
19.263	87.798	-5.574
19.271	87.881	-5.575
19.279	87.962	-5.575
19.288	88.043	-5.575
19.296	88.129	-5.575
19.304	88.211	-5.576
19.313	88.294	-5.576
19.321	88.378	-5.576
19.329	88.460	-5.576
19.338	88.545	-5.577
19.346	88.629	-5.577
19.354	88.718	-5.577
19.363	88.800	-5.578
19.371	88.879	-5.578
19.379	88.965	-5.579
19.388	89.045	-5.579
19.396	89.130	-5.580
19.404	89.211	-5.580
19.413	89.297	-5.581
19.421	89.380	-5.582
19.429	89.465	-5.582
19.438	89.547	-5.582
19.446	89.629	-5.583
19.454	89.713	-5.583
19.463	89.794	-5.583
19.471	89.880	-5.583
19.479	89.962	-5.583
19.488	90.048	-5.584
19.496	90.131	-5.584
19.504	90.218	-5.584
19.513	90.299	-5.585
19.521	90.381	-5.585
19.529	90.462	-5.585
19.538	90.550	-5.586
19.546	90.635	-5.586
19.554	90.715	-5.587
19.563	90.798	-5.587
19.571	90.884	-5.587
19.579	90.965	-5.587
19.588	91.050	-5.587
19.596	91.135	-5.587
19.604	91.219	-5.587
19.613	91.302	-5.587
19.621	91.382	-5.588
19.629	91.468	-5.588
19.638	91.553	-5.589
19.646	91.632	-5.589
19.654	91.719	-5.590
19.663	91.806	-5.590
19.671	91.890	-5.591
19.679	91.974	-5.592
19.688	92.052	-5.592
19.696	92.128	-5.593
19.704	92.211	-5.593
19.713	92.300	-5.593
19.721	92.387	-5.593
19.729	92.468	-5.594
19.738	92.553	-5.594
19.746	92.638	-5.594
19.754	92.720	-5.594
19.763	92.804	-5.594
19.771	92.887	-5.594
19.779	92.972	-5.595
19.788	93.052	-5.595
19.796	93.135	-5.595
19.804	93.222	-5.595
19.813	93.305	-5.595
19.821	93.388	-5.595
19.829	93.474	-5.595
19.838	93.556	-5.595
19.846	93.637	-5.595
19.854	93.716	-5.596
19.863	93.803	-5.596
19.871	93.885	-5.596
19.879	93.970	-5.597
19.888	94.051	-5.597
19.896	94.137	-5.597
19.904	94.223	-5.597
19.913	94.308	-5.598
19.921	94.391	-5.598
19.929	94.473	-5.599
19.938	94.557	-5.599
19.946	94.640	-5.599
19.954	94.722	-5.599
19.963	94.805	-5.600
19.971	94.886	-5.600
19.979	94.970	-5.601
19.988	95.059	-5.601
19.996	95.103	-5.601
20.004	95.183	-5.602
20.013	95.267	-5.602
20.021	95.350	-5.602
20.029	95.433	-5.603
20.038	95.541	-5.603
20.046	95.642	-5.602
20.054	95.726	-5.603
20.063	95.809	-5.602
20.071	95.893	-5.602
20.079	95.974	-5.602
20.088	96.061	-5.602
20.096	96.143	-5.601
20.104	96.228	-5.601
20.113	96.308	-5.601
20.121	96.393	-5.601
20.129	96.474	-5.601
20.138	96.560	-5.602
20.146	96.643	-5.602
