t/s	U/V
0,0000	4,1826
0,1560	4,1774
1,2325	4,1721
3,2915	4,1669
5,4599	4,1616
7,7997	4,1564
10,2641	4,1511
12,8073	4,1459
15,4276	4,1406
18,2202	4,1351
21,0904	4,1298
24,0388	4,1246
26,8937	4,1193
29,9822	4,1141
32,8995	4,1088
36,0347	4,1036
39,1236	4,0983
42,3995	4,0931
45,7376	4,0878
48,9515	4,0825
52,3207	4,0773
55,7526	4,0720
59,1532	4,0668
62,6319	4,0615
66,0481	4,0563
69,7453	4,0510
73,3331	4,0458
76,9990	4,0405
80,6961	4,0353
84,4400	4,0300
88,2306	4,0248
91,9431	4,0195
95,7811	4,0143
99,8053	4,0090
103,6892	4,0038
107,6050	3,9985
111,4894	3,9933
115,5609	3,9880
119,6478	3,9828
123,6256	3,9775
127,7604	3,9723
131,9870	3,9670
136,2612	3,9618
140,3795	3,9565
144,7941	3,9513
149,0685	3,9460
153,5297	3,9407
157,8039	3,9355
162,2969	3,9302
166,6957	3,9250
171,1883	3,9197
175,7902	3,9145
180,2828	3,9092
184,8223	3,9040
189,3462	3,8987
193,9481	3,8935
198,6122	3,8882
203,4325	3,8830
208,1434	3,8777
213,0731	3,8725
217,8307	3,8672
222,7447	3,8620
227,6429	3,8567
232,5878	3,8515
237,6422	3,8462
242,6962	3,8410
247,8608	3,8357
252,9466	3,8305
258,1720	3,8252
263,1481	3,8200
268,4365	3,8147
273,8181	3,8095
279,1532	3,8042
284,8626	3,7989
290,1196	3,7937
295,5171	3,7884
301,0237	3,7832
307,0293	3,7779
312,5827	3,7727
318,6509	3,7674
324,3916	3,7622
330,3507	3,7569
336,2937	3,7517
342,5650	3,7464
348,8204	3,7412
355,1068	3,7359
361,5026	3,7307
368,0856	3,7254
374,7778	3,7202
381,6729	3,7149
388,7548	3,7097
395,5874	3,7044
402,8570	3,6992
410,3757	3,6939
417,9570	3,6887
425,7255	3,6834
433,4942	3,6782
441,5436	3,6729
450,1699	3,6677
458,4845	3,6624
467,6725	3,6571
476,4861	3,6519
486,2358	3,6466
496,0947	3,6414
505,7039	3,6361
517,5128	3,6309
528,6508	3,6256
540,1632	3,6204
551,6132	3,6151
564,4047	3,6099
576,7751	3,6046
590,6585	3,5994
604,1210	3,5941
618,5035	3,5889
633,2138	3,5836
648,7196	3,5784
664,2723	3,5731
680,1371	3,5679
696,7037	3,5626
713,0049	3,5574
731,5375	3,5521
749,4454	3,5469
768,3831	3,5416
787,2117	3,5364
806,7420	3,5311
826,5067	3,5259
846,5207	3,5212
866,2384	3,5160
886,2524	3,5116
906,2667	3,5067
926,2807	3,5024
946,2948	3,4980
966,3089	3,4940
986,3228	3,4897
1006,3368	3,4860
1026,3512	3,4820
1046,3654	3,4783
1066,3792	3,4746
1086,3935	3,4712
1106,4086	3,4681
1126,4227	3,4650
1146,4368	3,4619
1166,4507	3,4585
1186,4650	3,4557
1206,4789	3,4526
1226,4931	3,4502
1246,5071	3,4474
1266,5213	3,4449
1286,5354	3,4424
1306,5495	3,4397
1326,5636	3,4375
1346,5778	3,4353
1366,5918	3,4332
1386,6059	3,4310
1406,6198	3,4288
1426,6339	3,4273
1446,6481	3,4251
1466,6625	3,4236
1486,6764	3,4217
1506,6904	3,4199
1526,7044	3,4187
1546,7186	3,4171
1566,7326	3,4156
1586,7467	3,4143
1606,7609	3,4128
1626,7749	3,4112
1646,7889	3,4100
1666,8030	3,4088
1686,8172	3,4075
1706,8313	3,4063
1726,8455	3,4054
1746,8596	3,4041
1766,8735	3,4032
1786,8877	3,4023
1806,9017	3,4014
1826,9158	3,4007
1846,9300	3,3992
1866,9441	3,3986
1886,9582	3,3983
1906,9722	3,3973
1926,9862	3,3964
1947,0004	3,3958
1967,0155	3,3949
1987,0296	3,3942
2007,0436	3,3936
2027,0580	3,3933
2047,0719	3,3927
2067,0859	3,3924
2087,1000	3,3918
2107,1139	3,3912
2127,1282	3,3905
2147,1424	3,3902
2167,1563	3,3893
2187,1702	3,3890
2207,1844	3,3887
2227,1987	3,3884
2247,2128	3,3881
2267,2268	3,3878
2287,2409	3,3868
2307,2550	3,3868
2327,2691	3,3868
2347,2832	3,3865
2367,2972	3,3859
2387,3114	3,3859
2407,3255	3,3856
2427,3396	3,3853
2447,3538	3,3850
2467,3678	3,3850
2487,3819	3,3844
2507,3960	3,3844
2527,4099	3,3841
2547,4242	3,3841
2567,4382	3,3837
2587,4525	3,3837
2607,4664	3,3834
