t/s	U/V
0,0000	4,2554
0,0625	4,2499
0,2341	4,2446
0,5616	4,2394
1,2480	4,2341
2,9015	4,2289
6,1459	4,2236
11,5434	4,2184
21,0434	4,2131
35,9874	4,2079
56,0011	4,2029
76,0148	4,1992
96,0285	4,1964
116,0423	4,1933
136,0560	4,1906
156,0697	4,1890
176,0835	4,1869
196,0973	4,1847
216,1110	4,1828
236,1248	4,1816
256,1385	4,1798
276,1522	4,1788
296,1661	4,1773
316,1797	4,1760
336,1935	4,1751
356,2072	4,1736
376,2210	4,1726
396,2346	4,1711
416,2486	4,1705
436,2621	4,1692
456,2759	4,1686
476,2896	4,1680
496,3033	4,1671
516,3171	4,1658
536,3309	4,1652
556,3447	4,1646
576,3584	4,1637
596,3721	4,1634
616,3858	4,1628
636,3995	4,1618
656,4133	4,1612
676,4272	4,1606
696,4408	4,1603
716,4546	4,1597
736,4683	4,1591
756,4820	4,1584
776,4958	4,1575
796,5095	4,1575
816,5233	4,1569
836,5370	4,1566
856,5508	4,1560
876,5645	4,1557
896,5782	4,1553
916,5920	4,1547
936,6056	4,1544
956,6195	4,1541
976,6332	4,1535
996,6470	4,1535
1016,6606	4,1529
1036,6744	4,1526
1056,6881	4,1519
1076,7019	4,1519
1096,7156	4,1513
1116,7297	4,1507
1136,7432	4,1507
1156,7569	4,1504
1176,7706	4,1501
1196,7843	4,1498
1216,7981	4,1495
1236,8119	4,1492
1256,8257	4,1489
1276,8393	4,1489
1296,8531	4,1482
1316,8668	4,1476
1336,8805	4,1473
1356,8943	4,1476
1376,9080	4,1470
1396,9217	4,1467
1416,9355	4,1467
1436,9493	4,1464
1456,9630	4,1458
1476,9769	4,1458
1496,9905	4,1455
1517,0043	4,1455
1537,0179	4,1452
1557,0317	4,1448
1577,0454	4,1448
1597,0595	4,1445
1617,0729	4,1445
1637,0868	4,1442
1657,1004	4,1439
1677,1143	4,1439
1697,1279	4,1439
1717,1416	4,1433
1737,1554	4,1433
1757,1691	4,1433
1777,1828	4,1430
1797,1966	4,1427
1817,2103	4,1427
1837,2241	4,1421
1857,2379	4,1414
1877,2515	4,1421
1897,2653	4,1418
1917,2791	4,1414
1937,2928	4,1414
1957,3066	4,1411
1977,3206	4,1411
1997,3340	4,1408
2017,3478	4,1408
2037,3615	4,1408
2057,3753	4,1402
2077,3889	4,1405
2097,4027	4,1402
2117,4164	4,1402
2137,4303	4,1399
2157,4439	4,1399
2177,4577	4,1399
2197,4714	4,1396
2217,4852	4,1396
2237,4989	4,1393
2257,5127	4,1393
2277,5264	4,1390
2297,5401	4,1390
2317,5539	4,1387
2337,5676	4,1387
2357,5814	4,1384
2377,5951	4,1387
2397,6088	4,1387
2417,6226	4,1380
2437,6364	4,1377
2457,6501	4,1377
2477,6638	4,1377
2497,6775	4,1377
2517,6913	4,1377
2537,7050	4,1374
2557,7188	4,1374
2577,7325	4,1374
2597,7462	4,1371
2617,7600	4,1365
2637,7738	4,1365
2657,7875	4,1362
2677,8012	4,1362
2697,8150	4,1362
2717,8287	4,1359
2737,8424	4,1359
2757,8562	4,1359
2777,8699	4,1359
2797,8837	4,1356
2817,8974	4,1356
2837,9112	4,1359
2857,9249	4,1353
2877,9386	4,1356
2897,9523	4,1353
2917,9661	4,1350
2937,9799	4,1350
2957,9936	4,1346
