t/s	U/V
0,0313	3,3363
0,5616	3,3416
1,1700	3,3468
1,8251	3,3521
2,5428	3,3574
3,2134	3,3626
3,9622	3,3682
4,7422	3,3734
5,5378	3,3787
6,3021	3,3839
7,1444	3,3892
7,9868	3,3944
8,8603	3,3997
9,7183	3,4049
10,6075	3,4102
11,6214	3,4154
12,5418	3,4207
13,5557	3,4259
14,5229	3,4315
15,6460	3,4368
16,6911	3,4420
17,7987	3,4473
18,9218	3,4525
20,0606	3,4578
21,2461	3,4630
22,4472	3,4683
23,6795	3,4735
24,9587	3,4788
26,2222	3,4840
27,5793	3,4893
28,9209	3,4945
30,3404	3,4998
31,7601	3,5050
33,2886	3,5103
34,7706	3,5155
36,3305	3,5208
37,9216	3,5260
39,5284	3,5313
41,1663	3,5365
42,8978	3,5418
44,6917	3,5470
46,4388	3,5523
48,3107	3,5575
50,2762	3,5628
52,2105	3,5681
54,1136	3,5733
56,0635	3,5786
58,2318	3,5838
60,2908	3,5891
62,5840	3,5943
64,9862	3,5996
67,4197	3,6048
70,0091	3,6101
72,8326	3,6153
75,9056	3,6206
79,1972	3,6258
82,5041	3,6311
86,2478	3,6363
90,1009	3,6416
94,2191	3,6468
98,4932	3,6521
102,7674	3,6573
107,2600	3,6626
112,2361	3,6678
117,8050	3,6731
124,0292	3,6783
131,1579	3,6836
141,4378	3,6888
155,5706	3,6941
170,0311	3,6994
183,7739	3,7046
197,4544	3,7099
211,0569	3,7151
225,0650	3,7204
238,5582	3,7256
251,9736	3,7309
265,2952	3,7361
277,0258	3,7414
289,3959	3,7466
301,1265	3,7519
312,4515	3,7571
323,2305	3,7624
334,2280	3,7676
344,6014	3,7729
354,6161	3,7781
364,6307	3,7834
374,1462	3,7886
384,0517	3,7939
393,0523	3,7994
403,0983	3,8047
412,4890	3,8100
422,0981	3,8152
431,3329	3,8205
441,2227	3,8257
451,0970	3,8310
461,2520	3,8362
471,3915	3,8415
481,9522	3,8467
493,1682	3,8520
504,7425	3,8572
517,1283	3,8625
530,0756	3,8677
543,8965	3,8730
558,8405	3,8782
574,2680	3,8835
591,8015	3,8887
610,7860	3,8940
630,7840	3,8992
650,7976	3,9036
670,8114	3,9082
690,8251	3,9122
710,8388	3,9156
730,8526	3,9196
750,8663	3,9227
770,8800	3,9258
790,8939	3,9289
810,9076	3,9317
830,9213	3,9341
850,9350	3,9369
870,9488	3,9391
890,9625	3,9419
910,9763	3,9440
930,9900	3,9459
951,0038	3,9480
971,0175	3,9502
991,0313	3,9521
1011,0450	3,9533
1031,0587	3,9558
1051,0724	3,9576
