t/s	U/V
0,4991	4,1546
2,0279	4,1494
3,5878	4,1441
5,2882	4,1389
7,1912	4,1336
8,9697	4,1283
10,9352	4,1231
12,8383	4,1178
14,9131	4,1126
16,9410	4,1073
19,0158	4,1021
21,1373	4,0968
23,2119	4,0916
25,5832	4,0863
27,9542	4,0811
30,3098	4,0758
32,7121	4,0706
35,1925	4,0653
37,6258	4,0601
40,1841	4,0548
42,6957	4,0496
45,2227	4,0443
47,8904	4,0391
50,6202	4,0338
53,3032	4,0286
56,1581	4,0233
58,8880	4,0181
61,7583	4,0128
64,4413	4,0076
67,4987	4,0023
70,4160	3,9971
73,4111	3,9918
76,4217	3,9865
79,5103	3,9813
82,5679	3,9760
85,7347	3,9708
88,8077	3,9655
91,9431	3,9603
95,2814	3,9550
98,7448	3,9498
102,0205	3,9445
105,2496	3,9393
108,7124	3,9340
112,1912	3,9288
115,4360	3,9235
118,9925	3,9183
122,6432	3,9130
126,0279	3,9078
129,6781	3,9025
133,2974	3,8973
137,1035	3,8920
140,7693	3,8868
144,3572	3,8815
148,0543	3,8763
152,0323	3,8710
155,9477	3,8658
159,7853	3,8605
163,5914	3,8553
167,7096	3,8500
171,6563	3,8448
175,6809	3,8395
179,7526	3,8342
184,1671	3,8290
188,2073	3,8237
192,4659	3,8185
196,7869	3,8132
201,0925	3,8080
205,5385	3,8027
210,0778	3,7975
214,3675	3,7922
218,9698	3,7870
223,6492	3,7817
228,2199	3,7765
233,0870	3,7712
237,8763	3,7660
242,7432	3,7607
247,7192	3,7555
252,8204	3,7502
258,0304	3,7450
263,3343	3,7397
268,7160	3,7345
274,2539	3,7292
279,9633	3,7240
285,5792	3,7187
291,7252	3,7135
297,6374	3,7082
304,1268	3,7030
310,2887	3,6977
317,0277	3,6924
323,9381	3,6872
330,8956	3,6819
338,0401	3,6767
345,7773	3,6714
353,5926	3,6662
361,6576	3,6609
370,2530	3,6557
378,9574	3,6504
388,3951	3,6452
397,8015	3,6399
408,0815	3,6347
418,6579	3,6294
429,2968	3,6242
440,6687	3,6189
452,4619	3,6137
464,9415	3,6084
477,0471	3,6032
490,0410	3,5979
503,0979	3,5927
516,2481	3,5874
530,3812	3,5822
544,9980	3,5769
559,9110	3,5717
575,3076	3,5664
591,1254	3,5612
607,3645	3,5559
624,1339	3,5507
641,3713	3,5454
659,1392	3,5401
678,4201	3,5349
697,2018	3,5296
717,2168	3,5250
736,1389	3,5198
756,1530	3,5154
776,1672	3,5108
796,1814	3,5065
816,1954	3,5021
836,2093	3,4981
856,2236	3,4944
876,2377	3,4904
896,2516	3,4870
916,2658	3,4833
936,2798	3,4802
956,2939	3,4771
976,3083	3,4737
996,3221	3,4709
1016,3362	3,4679
1036,3503	3,4657
1056,3645	3,4626
1076,3787	3,4601
1096,3926	3,4580
1116,4067	3,4555
1136,4208	3,4536
1156,4348	3,4515
1176,4490	3,4493
1196,4630	3,4475
1216,4773	3,4453
1236,4913	3,4438
1256,5054	3,4419
1276,5199	3,4407
1296,5335	3,4388
1316,5477	3,4373
1336,5618	3,4360
1356,5759	3,4345
