t/s	U/V
0,0154	4,0801
0,1403	4,0745
0,6238	4,0693
1,5130	4,0640
2,6052	4,0588
3,8373	4,0535
5,1164	4,0483
6,3334	4,0430
7,7214	4,0378
9,1100	4,0322
10,6387	4,0266
12,1052	4,0214
13,6338	4,0161
15,1782	4,0109
16,7380	4,0056
18,3132	4,0004
19,8736	3,9951
21,5115	3,9899
23,2119	3,9846
24,8499	3,9794
26,6281	3,9741
28,3442	3,9686
30,1846	3,9633
31,9476	3,9580
33,6323	3,9528
35,6289	3,9475
37,4699	3,9423
39,2480	3,9370
41,3073	3,9318
43,2103	3,9265
45,1136	3,9213
47,0165	3,9160
49,0289	3,9108
51,1035	3,9055
53,0849	3,9003
55,1597	3,8950
57,1563	3,8898
59,1529	3,8845
61,3368	3,8793
63,3025	3,8740
65,5800	3,8688
67,7172	3,8635
69,9012	3,8583
72,1943	3,8530
74,3310	3,8478
76,4996	3,8425
78,8239	3,8373
81,0702	3,8320
83,4260	3,8268
85,7346	3,8215
87,9964	3,8162
90,2896	3,8110
92,6605	3,8057
94,9693	3,8005
97,4340	3,7949
100,0235	3,7897
102,4727	3,7844
105,0624	3,7789
107,6672	3,7736
110,1788	3,7684
112,8152	3,7631
115,3268	3,7579
117,9317	3,7526
120,5993	3,7474
123,2043	3,7421
125,9499	3,7369
128,8826	3,7313
131,7528	3,7260
134,5921	3,7208
137,3218	3,7155
140,3012	3,7103
143,4369	3,7050
146,3851	3,6998
149,4426	3,6945
152,5469	3,6893
155,7293	3,6840
158,8648	3,6788
162,2654	3,6735
165,5725	3,6683
169,0822	3,6630
172,6548	3,6578
176,1176	3,6525
179,8303	3,6473
183,4806	3,6420
187,3181	3,6368
191,5456	3,6315
195,6951	3,6263
199,8912	3,6210
204,3214	3,6158
208,8609	3,6105
213,4783	3,6052
218,4701	3,6000
223,2592	3,5947
228,2510	3,5895
233,6949	3,5842
239,3266	3,5790
245,2389	3,5737
251,2759	3,5685
257,6871	3,5632
264,0361	3,5580
271,0872	3,5527
278,0290	3,5475
285,4697	3,5422
293,3166	3,5370
301,4437	3,5317
309,9144	3,5265
318,5718	3,5212
327,4168	3,5160
336,9949	3,5107
346,7911	3,5055
356,9153	3,5002
