t/s	U/V
0,1872	4,0629
1,0139	4,0576
1,8875	4,0524
2,8077	4,0471
3,8219	4,0418
4,8672	4,0366
5,9589	4,0313
7,0353	4,0261
8,1272	4,0208
9,2660	4,0156
10,4672	4,0103
11,6841	4,0051
12,9162	3,9998
14,1799	3,9946
15,4277	3,9893
16,7071	3,9841
18,0796	3,9788
19,4837	3,9736
20,8096	3,9683
22,2603	3,9631
23,6487	3,9578
25,2554	3,9526
26,7531	3,9470
28,3597	3,9414
29,9821	3,9362
31,6044	3,9309
33,1800	3,9257
34,7087	3,9204
36,4246	3,9152
38,0625	3,9099
39,6849	3,9047
41,4477	3,8994
43,1011	3,8942
44,8953	3,8889
46,6423	3,8837
48,4986	3,8784
50,2925	3,8732
52,1177	3,8679
53,9430	3,8627
55,7992	3,8574
57,7022	3,8522
59,6214	3,8469
61,5242	3,8417
63,5365	3,8364
65,5178	3,8312
67,4676	3,8259
69,4798	3,8207
71,5235	3,8154
73,6293	3,8102
75,7197	3,8049
77,8256	3,7996
79,9627	3,7944
82,0998	3,7891
84,2994	3,7839
86,5145	3,7786
88,6983	3,7734
91,0383	3,7681
93,3628	3,7629
95,6558	3,7576
98,0893	3,7524
100,4916	3,7471
102,9407	3,7419
105,3429	3,7366
107,9482	3,7314
110,4283	3,7261
113,1116	3,7209
115,7010	3,7156
118,5401	3,7104
121,3169	3,7051
124,0625	3,6999
126,9326	3,6946
129,8810	3,6894
132,8760	3,6841
135,9336	3,6789
139,1470	3,6736
142,2826	3,6684
145,6519	3,6631
148,9122	3,6578
152,5313	3,6526
156,1816	3,6473
159,8634	3,6421
163,6069	3,6368
167,8190	3,6316
172,0774	3,6263
176,3828	3,6211
180,8911	3,6158
185,5709	3,6106
190,3912	3,6053
195,2894	3,6001
200,3437	3,5948
205,8970	3,5896
211,5440	3,5843
217,5967	3,5791
223,5712	3,5738
229,8580	3,5686
236,9867	3,5633
243,6634	3,5581
251,1822	3,5528
258,9041	3,5476
266,9220	3,5423
275,1899	3,5371
283,8474	3,5318
293,0053	3,5266
302,4118	3,5213
312,1303	3,5161
322,6756	3,5108
333,6888	3,5055
345,4351	3,5003
357,7742	3,4950
370,8779	3,4898
384,6365	3,4845
398,7228	3,4793
414,3695	3,4740
431,0604	3,4688
448,5476	3,4635
468,1715	3,4583
488,1857	3,4536
508,1999	3,4493
528,2138	3,4450
548,2279	3,4413
568,2419	3,4376
588,2561	3,4342
608,2702	3,4314
628,2844	3,4289
648,2987	3,4262
668,3125	3,4240
688,3265	3,4221
708,3407	3,4203
728,3547	3,4184
748,3688	3,4169
768,3833	3,4156
788,3972	3,4144
808,4110	3,4132
828,4252	3,4116
848,4393	3,4110
868,4534	3,4101
888,4675	3,4092
908,4816	3,4085
928,4958	3,4079
948,5097	3,4070
968,5239	3,4067
988,5380	3,4061
1008,5520	3,4055
1028,5661	3,4051
1048,5801	3,4048
1068,5945	3,4042
1088,6086	3,4039
1108,6225	3,4036
1128,6366	3,4036
1148,6517	3,4030
1168,6657	3,4030
1188,6800	3,4027
1208,6940	3,4024
1228,7081	3,4024
1248,7222	3,4024
1268,7363	3,4017
1288,7504	3,4021
1308,7644	3,4017
1328,7785	3,4014
1348,7927	3,4014
1368,8067	3,4014
1388,8208	3,4011
1408,8349	3,4011
1428,8489	3,4008
1448,8630	3,4008
1468,8771	3,4011
1488,8914	3,4008
1508,9054	3,4011
1528,9194	3,4008
1548,9335	3,4008
1568,9477	3,4008
1588,9618	3,4005
1608,9757	3,4008
1628,9900	3,4005
1649,0039	3,4002
1669,0181	3,4005
1689,0322	3,4005
1709,0462	3,3999
1729,0603	3,4002
1749,0745	3,4002
1769,0886	3,3999
1789,1026	3,3999
1809,1168	3,3999
1829,1309	3,4002
1849,1449	3,3999
1869,1590	3,3996
1889,1730	3,3996
1909,1873	3,3999
1929,2015	3,3999
1949,2154	3,3999
1969,2294	3,3996
1989,2435	3,3996
2009,2586	3,3996
2029,2727	3,3996
2049,2869	3,3999
2069,3013	3,3999
2089,3150	3,3996
2109,3291	3,3999
2129,3431	3,3996
2149,3574	3,3999
2169,3713	3,3996
2189,3856	3,3996
2209,3995	3,3996
2229,4136	3,3996
2249,4277	3,3999
2269,4418	3,3996
2289,4557	3,3996
2309,4700	3,3996
2329,4842	3,3996
2349,4982	3,3993
2369,5123	3,3999
2389,5264	3,3996
2409,5405	3,3996
2429,5545	3,3996
2449,5687	3,3996
2469,5755	3,3996
2489,5849	3,3996
2509,5883	3,3996
2529,5886	3,3996
2549,5949	3,3993
2569,5995	3,3996
2589,6038	3,3996
2609,6113	3,3996
2629,6118	3,3996
2649,6161	3,3996
2669,6289	3,3993
2689,6428	3,3996
2709,6571	3,3996
2729,6711	3,3996
