t/s	U/V
0,0000	3,3814
0,0466	3,3876
0,1558	3,3928
0,3898	3,3981
0,8265	3,4033
1,5597	3,4086
2,6361	3,4138
3,8687	3,4191
5,3035	3,4243
6,9414	3,4296
8,6262	3,4348
10,4825	3,4401
12,5727	3,4453
14,6786	3,4506
16,9249	3,4559
19,1244	3,4611
21,7919	3,4664
24,3189	3,4716
26,8928	3,4769
29,6538	3,4821
32,6801	3,4874
35,5971	3,4926
38,7326	3,4979
41,8993	3,5031
45,2999	3,5084
48,7004	3,5136
52,1791	3,5189
55,8136	3,5241
59,4950	3,5294
63,5197	3,5346
67,4974	3,5399
71,5532	3,5451
75,8430	3,5504
80,1327	3,5556
84,7190	3,5609
89,6483	3,5661
94,4216	3,5714
99,3197	3,5766
104,8108	3,5819
110,2704	3,5872
115,7770	3,5924
121,5642	3,5977
127,4764	3,6029
134,3087	3,6082
140,9540	3,6137
148,1295	3,6190
155,2741	3,6242
162,8397	3,6295
171,1228	3,6347
180,4199	3,6400
189,8886	3,6452
200,0125	3,6505
210,9007	3,6557
222,5376	3,6610
234,5491	3,6662
246,3888	3,6715
258,7746	3,6767
270,7860	3,6820
283,6396	3,6872
296,9769	3,6925
310,7823	3,6978
325,5233	3,7030
340,9510	3,7083
356,5034	3,7135
373,4597	3,7188
392,4282	3,7240
412,4420	3,7286
432,3621	3,7339
452,3759	3,7382
472,3896	3,7422
492,4035	3,7469
512,4173	3,7512
532,4308	3,7555
552,4446	3,7595
572,4584	3,7632
592,4721	3,7670
612,4860	3,7704
632,4996	3,7741
652,5132	3,7775
672,5271	3,7805
692,5408	3,7836
712,5545	3,7867
732,5683	3,7892
752,5820	3,7920
772,5957	3,7944
792,6096	3,7972
812,6233	3,8000
832,6371	3,8025
852,6507	3,8046
872,6645	3,8071
892,6782	3,8096
912,6919	3,8117
932,7057	3,8139
952,7196	3,8161
972,7331	3,8182
992,7469	3,8204
1012,7607	3,8226
1032,7744	3,8241
1052,7881	3,8263
1072,8019	3,8287
1092,8156	3,8303
1112,8294	3,8321
1132,8430	3,8340
1152,8568	3,8358
1172,8706	3,8377
1192,8843	3,8399
1212,8981	3,8417
1232,9118	3,8433
1252,9257	3,8451
1272,9393	3,8467
1292,9531	3,8485
1312,9668	3,8507
1332,9805	3,8522
1352,9943	3,8535
1373,0080	3,8556
1393,0218	3,8575
1413,0356	3,8590
1433,0492	3,8606
1453,0630	3,8624
1473,0767	3,8640
1493,0905	3,8658
1513,1042	3,8674
1533,1179	3,8689
1553,1317	3,8701
1573,1455	3,8720
1593,1592	3,8735
1613,1730	3,8754
1633,1866	3,8766
1653,2004	3,8782
1673,2141	3,8800
1693,2279	3,8819
1713,2416	3,8834
1733,2554	3,8853
1753,2691	3,8865
1773,2829	3,8881
1793,2966	3,8899
1813,3105	3,8911
1833,3240	3,8927
1853,3378	3,8945
1873,3515	3,8958
1893,3655	3,8976
1913,3790	3,8989
1933,3928	3,9007
1953,4066	3,9023
1973,4203	3,9035
1993,4340	3,9050
2013,4477	3,9069
2033,4615	3,9081
2053,4752	3,9100
2073,4890	3,9115
2093,5028	3,9131
2113,5164	3,9149
2133,5303	3,9165
2153,5439	3,9177
2173,5577	3,9193
2193,5714	3,9208
2213,5852	3,9223
2233,5990	3,9239
2253,6129	3,9254
2273,6264	3,9273
2293,6401	3,9285
2313,6539	3,9301
2333,6678	3,9316
2353,6814	3,9332
2373,6951	3,9350
2393,7088	3,9366
2413,7226	3,9378
2433,7363	3,9397
2453,7501	3,9409
2473,7640	3,9430
2493,7775	3,9443
2513,7913	3,9461
2533,8050	3,9474
2553,8188	3,9492
2573,8325	3,9508
2593,8463	3,9523
2613,8600	3,9539
2633,8737	3,9557
2653,8875	3,9570
2673,9012	3,9585
2693,9150	3,9600
2713,9288	3,9622
2733,9425	3,9634
2753,9562	3,9653
2773,9700	3,9668
2793,9836	3,9684
2813,9974	3,9699
2834,0111	3,9718
2854,0249	3,9733
2874,0386	3,9749
2894,0526	3,9764
2914,0661	3,9786
2934,0799	3,9798
2954,0936	3,9820
2974,1074	3,9832
2994,1211	3,9854
3014,1348	3,9869
3034,1488	3,9885
3054,1623	3,9903
3074,1760	3,9919
3094,1898	3,9937
3114,2035	3,9956
3134,2172	3,9971
3154,2310	3,9990
3174,2448	4,0008
3194,2585	4,0021
3214,2724	4,0039
3234,2859	4,0058
3254,3001	4,0076
3274,3134	4,0092
3294,3272	4,0110
3314,3410	4,0126
3334,3547	4,0144
3354,3684	4,0163
3374,3822	4,0181
3394,3960	4,0200
3414,4097	4,0215
3434,4235	4,0234
3454,4371	4,0255
3474,4509	4,0271
3494,4647	4,0292
3514,4784	4,0311
3534,4922	4,0326
3554,5062	4,0345
3574,5199	4,0360
3594,5333	4,0379
3614,5471	4,0397
3634,5610	4,0416
3654,5746	4,0435
3674,5883	4,0456
3694,6021	4,0472
3714,6158	4,0490
3734,6295	4,0509
3754,6433	4,0527
3774,6570	4,0546
3794,6707	4,0564
3814,6847	4,0583
3834,6983	4,0604
3854,7122	4,0620
3874,7257	4,0642
3894,7394	4,0657
3914,7532	4,0676
3934,7669	4,0694
3954,7808	4,0713
3974,7944	4,0734
3994,8082	4,0753
4014,8220	4,0774
4034,8358	4,0790
4054,8495	4,0815
4074,8633	4,0830
4094,8769	4,0852
4114,8907	4,0870
4134,9044	4,0886
4154,9181	4,0907
4174,9318	4,0926
4194,9456	4,0944
4214,9593	4,0963
4234,9732	4,0981
4254,9869	4,1003
4275,0006	4,1022
4295,0143	4,1040
4315,0280	4,1059
4335,0418	4,1080
4355,0555	4,1099
4375,0695	4,1120
4395,0830	4,1139
4415,0969	4,1154
4435,1105	4,1170
4455,1243	4,1191
4475,1380	4,1207
4495,1518	4,1222
4515,1655	4,1241
4535,1792	4,1256
4555,1929	4,1275
4575,2068	4,1293
4595,2204	4,1306
4615,2342	4,1324
4635,2479	4,1343
4655,2617	4,1358
4675,2754	4,1380
4695,2892	4,1398
4715,3030	4,1417
4735,3167	4,1435
4755,3303	4,1454
4775,3441	4,1476
4795,3579	4,1497
4815,3716	4,1516
4835,3853	4,1534
4855,3995	4,1556
4875,4127	4,1571
4895,4270	4,1593
4915,4404	4,1609
4935,4542	4,1630
4955,4677	4,1649
4975,4815	4,1667
4995,4952	4,1689
5015,5092	4,1701
5035,5228	4,1720
5055,5365	4,1735
5075,5502	4,1760
5095,5640	4,1775
5115,5777	4,1791
5135,5916	4,1809
5155,6053	4,1825
5175,6189	4,1840
5195,6326	4,1859
5215,6465	4,1877
5235,6601	4,1890
5255,6739	4,1902
5275,6877	4,1921
5295,7014	4,1936
5315,7151	4,1948
5335,7290	4,1964
5355,7426	4,1982
5375,7563	4,1998
5395,7701	4,2007
5415,7840	4,2019
5435,7976	4,2038
5455,8114	4,2053
5475,8250	4,2066
5495,8387	4,2078
5515,8525	4,2094
5535,8666	4,2106
5555,8800	4,2115
5575,8942	4,2128
5595,9075	4,2140
5615,9212	4,2152
5635,9350	4,2162
5655,9487	4,2177
5675,9625	4,2183
5695,9763	4,2195
5715,9899	4,2211
5736,0036	4,2217
5756,0174	4,2226
5776,0313	4,2236
5796,0449	4,2251
5816,0588	4,2260
5836,0724	4,2270
5856,0863	4,2276
5876,0999	4,2288
5896,1136	4,2291
5916,1275	4,2304
5936,1411	4,2313
5956,1550	4,2319
5976,1686	4,2331
5996,1824	4,2335
6016,1961	4,2341
6036,2098	4,2353
6056,2235	4,2359
6076,2373	4,2365
6096,2511	4,2375
6116,2648	4,2378
6136,2786	4,2387
6156,2925	4,2393
6176,3061	4,2402
6196,3198	4,2409
6216,3336	4,2415
6236,3472	4,2418
6256,3610	4,2424
6276,3748	4,2430
6296,3885	4,2440
6316,4022	4,2440
6336,4160	4,2446
6356,4296	4,2455
6376,4436	4,2458
6396,4572	4,2464
6416,4711	4,2470
6436,4846	4,2474
6456,4984	4,2480
6476,5121	4,2483
6496,5259	4,2489
6516,5396	4,2489
6536,5535	4,2498
6556,5672	4,2501
6576,5808	4,2508
6596,5946	4,2508
6616,6084	4,2514
6636,6221	4,2520
6656,6358	4,2520
6676,6495	4,2529
6696,6635	4,2529
6716,6770	4,2532
6736,6908	4,2538
6756,7045	4,2541
6776,7183	4,2545
6796,7320	4,2551
6816,7458	4,2554
6836,7596	4,2557
6856,7732	4,2560
6876,7870	4,2563
6896,8007	4,2569
6916,8145	4,2572
6936,8284	4,2575
6956,8420	4,2579
6976,8558	4,2582
6996,8695	4,2585
7016,8832	4,2585
7036,8969	4,2588
7056,9107	4,2591
7076,9244	4,2597
7096,9382	4,2597
7116,9518	4,2603
7136,9657	4,2606
7156,9793	4,2609
7176,9932	4,2613
7197,0068	4,2613
7217,0206	4,2616
7237,0343	4,2619
7257,0482	4,2622
7277,0618	4,2625
7297,0756	4,2628
7317,0893	4,2634
7337,1030	4,2634
7357,1168	4,2637
7377,1306	4,2637
7397,1443	4,2640
7417,1580	4,2643
7437,1717	4,2647
7457,1856	4,2647
7477,1993	4,2653
7497,2130	4,2656
7517,2267	4,2659
7537,2404	4,2662
7557,2543	4,2662
7577,2680	4,2665
7597,2817	4,2665
7617,2955	4,2668
7637,3091	4,2671
7657,3229	4,2671
7677,3367	4,2674
7697,3504	4,2677
7717,3642	4,2681
7737,3779	4,2677
7757,3916	4,2684
7777,4054	4,2684
7797,4191	4,2684
7817,4331	4,2687
7837,4468	4,2690
7857,4603	4,2690
7877,4741	4,2690
7897,4879	4,2690
7917,5015	4,2690
7937,5154	4,2693
7957,5291	4,2702
7977,5428	4,2699
7997,5565	4,2699
8017,5703	4,2705
8037,5840	4,2705
8057,5977	4,2708
8077,6114	4,2708
8097,6253	4,2708
8117,6390	4,2708
8137,6528	4,2711
8157,6665	4,2711
8177,6802	4,2715
8197,6939	4,2715
8217,7077	4,2715
8237,7216	4,2718
8257,7352	4,2718
8277,7489	4,2721
8297,7628	4,2724
8317,7764	4,2724
8337,7902	4,2727
8357,8038	4,2727
8377,8179	4,2727
8397,8314	4,2733
8417,8451	4,2733
8437,8589	4,2733
8457,8726	4,2733
8477,8863	4,2736
8497,9001	4,2733
8517,9138	4,2736
8537,9275	4,2736
8557,9413	4,2739
8577,9551	4,2742
8597,9688	4,2739
8617,9825	4,2745
8637,9963	4,2742
8658,0101	4,2742
8678,0237	4,2745
8698,0374	4,2745
8718,0512	4,2748
8738,0650	4,2748
8758,0789	4,2752
8778,0926	4,2752
8798,1062	4,2752
8818,1199	4,2755
8838,1335	4,2755
8858,1475	4,2755
8878,1612	4,2758
8898,1750	4,2755
8918,1887	4,2758
8938,2025	4,2761
8958,2161	4,2761
8978,2300	4,2761
8998,2436	4,2761
9018,2574	4,2761
9038,2711	4,2767
9058,2849	4,2764
9078,2986	4,2764
9098,3123	4,2767
9118,3261	4,2770
9138,3399	4,2770
9158,3535	4,2767
9178,3674	4,2773
9198,3810	4,2770
9218,3948	4,2773
9238,4086	4,2773
9258,4223	4,2773
9278,4360	4,2776
9298,4498	4,2773
9318,4635	4,2776
9338,4773	4,2773
9358,4910	4,2779
9378,5047	4,2776
9398,5185	4,2779
9418,5322	4,2779
9438,5460	4,2779
9458,5597	4,2782
9478,5735	4,2779
9498,5871	4,2782
9518,6009	4,2782
9538,6147	4,2782
9558,6285	4,2782
9578,6422	4,2782
9598,6559	4,2782
9618,6697	4,2786
9638,6834	4,2786
9658,6971	4,2786
9678,7108	4,2789
9698,7247	4,2789
9718,7383	4,2786
9738,7521	4,2786
9758,7658	4,2792
9778,7796	4,2795
9798,7933	4,2795
9818,8071	4,2792
9838,8208	4,2792
9858,8347	4,2798
9878,8482	4,2795
9898,8620	4,2795
9918,8757	4,2798
9938,8895	4,2798
9958,9032	4,2798
9978,9170	4,2798
9998,9308	4,2801
10018,9445	4,2801
10038,9579	4,2804
10058,9724	4,2801
10078,9857	4,2804
10098,9995	4,2804
10119,0132	4,2804
10139,0271	4,2804
10159,0406	4,2807
10179,0544	4,2807
10199,0681	4,2807
10219,0818	4,2810
10239,0956	4,2807
10259,1093	4,2807
10279,1231	4,2807
10299,1367	4,2810
10319,1506	4,2813
10339,1643	4,2810
10359,1781	4,2816
10379,1918	4,2810
10399,2057	4,2816
10419,2195	4,2816
10439,2331	4,2820
10459,2469	4,2820
10479,2606	4,2820
10499,2744	4,2816
10519,2880	4,2820
10539,3018	4,2820
10559,3155	4,2820
10579,3292	4,2820
10599,3430	4,2823
10619,3567	4,2823
10639,3704	4,2823
10659,3842	4,2823
10679,3979	4,2826
10699,4119	4,2829
10719,4256	4,2829
10739,4391	4,2829
10759,4529	4,2829
10779,4666	4,2832
10799,4803	4,2829
10819,4941	4,2832
10839,5079	4,2832
10859,5216	4,2835
10879,5353	4,2835
10899,5491	4,2835
10919,5629	4,2835
10939,5766	4,2835
10959,5902	4,2838
10979,6041	4,2835
10999,6179	4,2835
11019,6316	4,2838
11039,6452	4,2838
11059,6590	4,2844
11079,6728	4,2844
11099,6865	4,2847
11119,7003	4,2847
11139,7140	4,2847
11159,7278	4,2844
11179,7415	4,2847
11199,7552	4,2850
11219,7690	4,2850
11239,7827	4,2850
11259,7966	4,2850
11279,8101	4,2854
11299,8239	4,2850
11319,8377	4,2854
11339,8514	4,2854
11359,8652	4,2857
11379,8790	4,2857
11399,8927	4,2857
11419,9064	4,2860
11439,9201	4,2860
11459,9340	4,2860
11479,9476	4,2860
11499,9613	4,2866
11519,9751	4,2866
11539,9889	4,2866
11560,0026	4,2866
11580,0163	4,2863
11600,0300	4,2869
11620,0438	4,2869
11640,0575	4,2869
11660,0714	4,2872
11680,0851	4,2872
