t/s	U/V
0,0000	3,3954
0,0471	3,4046
0,1247	3,4102
0,2183	3,4157
0,3432	3,4213
0,4991	3,4269
0,7175	3,4321
0,9671	3,4374
1,3102	3,4429
1,7317	3,4482
2,2618	3,4534
2,9170	3,4587
3,6813	3,4639
4,5549	3,4692
5,5221	3,4744
6,6608	3,4797
7,7995	3,4849
9,0787	3,4902
10,5293	3,4955
11,9644	3,5007
13,5712	3,5060
15,3028	3,5112
17,0966	3,5165
18,9998	3,5217
20,9341	3,5270
23,0243	3,5322
25,2394	3,5375
27,5326	3,5427
30,0440	3,5480
32,5710	3,5532
35,4101	3,5585
38,0931	3,5637
41,0259	3,5690
44,0520	3,5742
47,1406	3,5795
50,3697	3,5847
53,8951	3,5900
57,5298	3,5952
61,0551	3,6005
64,8926	3,6057
69,0107	3,6110
73,2224	3,6162
77,5902	3,6215
81,8332	3,6267
86,4661	3,6320
91,6606	3,6373
96,4341	3,6425
101,3790	3,6478
106,9479	3,6530
112,6103	3,6583
118,4913	3,6635
124,7466	3,6688
131,1578	3,6740
138,2711	3,6793
145,2906	3,6845
152,4038	3,6898
159,7669	3,6950
167,6286	3,7003
175,7090	3,7055
183,7114	3,7108
192,3534	3,7160
201,1201	3,7213
209,9492	3,7265
219,2620	3,7318
228,8865	3,7370
239,0885	3,7423
249,8988	3,7475
261,1301	3,7528
273,2506	3,7580
285,6832	3,7633
298,3809	3,7686
310,9697	3,7738
324,3225	3,7791
338,6736	3,7843
353,1029	3,7896
368,5772	3,7948
384,2233	3,8001
401,3199	3,8053
418,9314	3,8106
437,6973	3,8158
457,7110	3,8208
477,7247	3,8257
497,7384	3,8300
517,7522	3,8344
537,7659	3,8387
557,7797	3,8430
577,7934	3,8467
597,8071	3,8504
617,8208	3,8541
637,8346	3,8572
657,8483	3,8606
677,8621	3,8637
697,8759	3,8668
717,8895	3,8699
737,9034	3,8727
757,9170	3,8751
777,9308	3,8785
797,9446	3,8810
817,9583	3,8835
837,9720	3,8863
857,9858	3,8887
877,9996	3,8909
898,0134	3,8934
918,0270	3,8955
938,0407	3,8980
958,0545	3,9005
978,0682	3,9023
998,0820	3,9045
1018,0957	3,9070
1038,1095	3,9091
1058,1232	3,9113
1078,1369	3,9131
1098,1510	3,9153
1118,1644	3,9175
1138,1782	3,9190
1158,1919	3,9215
1178,2057	3,9230
1198,2194	3,9252
1218,2331	3,9270
1238,2469	3,9292
1258,2606	3,9307
1278,2743	3,9329
1298,2880	3,9345
1318,3019	3,9363
1338,3156	3,9379
1358,3293	3,9400
1378,3431	3,9419
1398,3568	3,9434
1418,3705	3,9453
1438,3843	3,9468
1458,3981	3,9484
1478,4118	3,9505
1498,4255	3,9521
1518,4393	3,9533
1538,4531	3,9545
1558,4667	3,9567
1578,4804	3,9582
1598,4942	3,9598
1618,5080	3,9616
1638,5217	3,9629
1658,5355	3,9647
1678,5492	3,9660
1698,5629	3,9675
1718,5767	3,9697
1738,5904	3,9709
1758,6041	3,9728
1778,6179	3,9740
1798,6317	3,9755
1818,6454	3,9774
1838,6591	3,9786
1858,6729	3,9802
1878,6866	3,9820
1898,7003	3,9830
1918,7141	3,9848
1938,7278	3,9867
1958,7415	3,9882
1978,7553	3,9894
1998,7690	3,9907
2018,7828	3,9922
2038,7965	3,9938
2058,8103	3,9956
2078,8240	3,9969
2098,8378	3,9984
2118,8515	3,9999
2138,8652	4,0012
2158,8790	4,0027
2178,8928	4,0040
2198,9065	4,0055
2218,9202	4,0067
2238,9341	4,0086
2258,9476	4,0101
2278,9615	4,0114
2298,9752	4,0123
2318,9889	4,0139
2339,0027	4,0151
2359,0164	4,0166
2379,0301	4,0179
2399,0442	4,0191
